variable_estandar,tipo_dato,descripcion,datasets_presentes,columnas_origen
tipo_estudiante,string,Variable estandarizada para análisis descriptivo.,educ_superior_programas,educ_superior_programas:TIPO DE ESTUDIANTE
tipo_formato,int64,Variable estandarizada para análisis descriptivo.,salud_afiliados,salud_afiliados:afi_tipoformato
tipo_institucion,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:TIPO
titulo_homologado_peru,string,Variable de encuesta: titulo homologado peru.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:titulo_homologado_peru
trabajo_previo_venezuela,string,Variable de encuesta: trabajo previo venezuela.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:trabajo_previo_venezuela
trabajo_previo_venezuela_detalle_raw,string,Variable de encuesta: trabajo previo venezuela detalle raw.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:trabajo_previo_venezuela_detalle_raw
trabajo_relacion_formacion,string,Variable de encuesta: trabajo relacion formacion.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:trabajo_relacion_formacion
tratamiento_cronico,string,Variable de encuesta: tratamiento cronico.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:tratamiento_cronico
turno,string,Variable estandarizada para análisis descriptivo.,educ_institutos; educ_superior_programas,educ_institutos:TURNO; educ_superior_programas:TURNO
ugel,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:UGEL
usa_herramientas_apoyo,string,Variable de encuesta: usa herramientas apoyo.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:usa_herramientas_apoyo
